text,category
Urgent: return issue.,Returns
I need to discuss the damaged.,Returns
I have issue with my bug,Technical
I have issue with my password,Technical
Why is the shipment giving me trouble?,Returns
I need to discuss the shipment.,Biliing
I have issue with my wifi,Technical
Can you check the status of my screen?,Technical
Urgent: screen issue.,Technical
Urgent: refund issue.,Biliing
I need to discuss the wifi.,Technical
Can you check the status of my damaged?,Returns
Urgent: slow issue.,Technical
Can you check the status of my refund?,Returns
Can you check the status of my slow?,Technical
Why is the exchange giving me trouble?,Biliing
I need to discuss the refund.,Biliing
Can you check the status of my broken item?,Returns
Can you check the status of my wifi?,Technical
Urgent: bug issue.,Technical
Why is the exchange giving me trouble?,Biliing
I have issue with my login,Technical
"Please help, my shipment is not working.",Returns
Can you check the status of my password?,Technical
Urgent: wrong size issue.,Biliing
I have issue with my internet,Technical
Why is the broken item giving me trouble?,Biliing
Can you check the status of my damaged?,Biliing
I need to discuss the internet.,Technical
"Please help, my refund is not working.",Returns
Urgent: shipment issue.,Biliing
Why is the return giving me trouble?,Biliing
Why is the exchange giving me trouble?,Biliing
I have issue with my shipment,Returns
Can you check the status of my damaged?,Returns
Why is the exchange giving me trouble?,Biliing
Why is the return giving me trouble?,Returns
Urgent: login issue.,Technical
Why is the damaged giving me trouble?,Returns
"Please help, my wrong size is not working.",Returns
Urgent: slow issue.,Technical
"Please help, my shipment is not working.",Biliing
"Please help, my shipment is not working.",Returns
Urgent: broken item issue.,Returns
I need to discuss the bug.,Technical
I have issue with my broken item,Returns
I have issue with my shipment,Returns
"Please help, my bug is not working.",Technical
I have issue with my wifi,Technical
"Please help, my shipment is not working.",Returns
Urgent: shipment issue.,Biliing
"Please help, my screen is not working.",Technical
"Please help, my exchange is not working.",Returns
Can you check the status of my damaged?,Returns
Can you check the status of my damaged?,Biliing
I have issue with my return,Biliing
Urgent: crash issue.,Technical
Urgent: refund issue.,Returns
Why is the login giving me trouble?,Technical
Urgent: error issue.,Technical
Urgent: login issue.,Technical
"Please help, my crash is not working.",Technical
Why is the return giving me trouble?,Biliing
"Please help, my exchange is not working.",Biliing
Why is the refund giving me trouble?,Biliing
Why is the internet giving me trouble?,Technical
"Please help, my bug is not working.",Technical
I need to discuss the login.,Technical
Urgent: password issue.,Technical
I have issue with my damaged,Biliing
I need to discuss the damaged.,Biliing
"Please help, my shipment is not working.",Biliing
Urgent: error issue.,Technical
Why is the error giving me trouble?,Technical
I need to discuss the shipment.,Returns
Why is the password giving me trouble?,Technical
Urgent: damaged issue.,Returns
Urgent: damaged issue.,Biliing
I have issue with my exchange,Returns
I need to discuss the internet.,Technical
Urgent: refund issue.,Biliing
"Please help, my return is not working.",Biliing
Can you check the status of my refund?,Biliing
Why is the refund giving me trouble?,Biliing
I have issue with my damaged,Returns
Urgent: wrong size issue.,Returns
Can you check the status of my return?,Returns
Can you check the status of my shipment?,Biliing
I have issue with my broken item,Returns
"Please help, my bug is not working.",Technical
Why is the damaged giving me trouble?,Biliing
Can you check the status of my broken item?,Returns
Urgent: shipment issue.,Returns
I need to discuss the internet.,Technical
I have issue with my shipment,Biliing
I need to discuss the exchange.,Biliing
Can you check the status of my screen?,Technical
Why is the return giving me trouble?,Returns
Urgent: wifi issue.,Technical
I have issue with my return,Biliing
Why is the internet giving me trouble?,Technical
Urgent: exchange issue.,Returns
Why is the return giving me trouble?,Returns
Why is the broken item giving me trouble?,Returns
